id,authors,title,average_rating
5845,Laura C. Schlessinger,The Proper Care and Feeding of Husbands,3.71
5846,Ted Dekker,"Green: The Beginning and the End (The Circle, #0)",4.03
5847,Yana Toboso,"Black Butler, Vol. 3 (Black Butler, #3)",4.53
5848,Michael J. Sullivan,"The Crown Tower (The Riyria Chronicles, #1)",4.31
5849,"Fábio Moon, Gabriel Bá, Craig Thompson, Dave Stewart, Sean Konot",Daytripper,4.31
5850,Cherise Sinclair,"Club Shadowlands (Masters of the Shadowlands, #1)",3.99
5851,"Orhan Pamuk, Maureen Freely",The Museum of Innocence,3.69
5852,Brit Bennett,The Mothers,3.87
5853,"Johann Wolfgang von Goethe, Walter Kaufmann",Faust,3.97
5854,Cora Carmack,"Faking It (Losing It, #2)",3.96
5855,Jenny Nimmo,"Charlie Bone and the Castle of Mirrors (The Children of the Red King, #4)",3.89
5856,Shelly Crane,"Accordance (Significance, #2)",4.28
5857,Andrea Cremer,Bloodrose (Nightshade #3; Nightshade World #6),4.06
5858,Agatha Christie,"Cards on the Table (Hercule Poirot, #15)",3.9
5859,Rachel Renée Russell,"Tales from a Not-So-Smart Miss Know-It-All (Dork Diaries, #5)",4.42
5860,Beverly Cleary,"Ramona and Her Mother (Ramona, #5)",4.08
5861,Agatha Christie,"Appointment with Death (Hercule Poirot, #19)",3.84
5862,Susan Elizabeth Phillips,"Natural Born Charmer (Chicago Stars, #7)",4.15
5863,Maxine Hong Kingston,The Woman Warrior,3.72
5864,"Masha, Marie Simchow Stern",Three Little Kittens,4.28
5865,Charles Bukowski,Tales of Ordinary Madness,4
5866,Samantha Young,"Before Jamaica Lane (On Dublin Street, #3)",4.35
5867,Terry Brooks,"The Sword of Shannara Trilogy (Shannara, #1-3)",3.94
5868,Taylor Jenkins Reid,Maybe in Another Life,3.74
5869,Glennon Doyle Melton,"Carry On, Warrior: Thoughts on Life Unarmed",4.18
5870,"Arthur Conan Doyle, David Timson",The Valley of Fear,3.98
5871,Nora Roberts,"The Pagan Stone (Sign of Seven, #3)",4.14
5872,Charles Dickens,A Tale of Two Cities / Great Expectations,3.98
5873,Stephen R. Covey,Principle-Centered Leadership,4.07
5874,Larry Correia,"Monster Hunter International (Monster Hunter International, #1)",4.04
5875,Rae Carson,"The Bitter Kingdom (Fire and Thorns, #3)",4.23
5876,Tom Clancy,"The Teeth of the Tiger (Jack Ryan Universe, #12)",3.61
5877,Anne McCaffrey,"Moreta: Dragonlady of Pern (Pern, #7)",3.97
5878,Diane Muldrow,Frosty the Snowman (Frosty the Snowman),4.34
5879,"Garth Ennis, Steve Dillon, Peter Snejbjerg","Preacher, Volume 6: War in the Sun",4.34
5880,Megan Whalen Turner,"The Queen of Attolia (The Queen's Thief, #2)",4.23
5881,Christopher Isherwood,A Single Man,4.11
5882,Christopher Hitchens,Mortality,4.12
5883,Chris d'Lacey,"Icefire (The Last Dragon Chronicles, #2)",3.9
5884,Neil Gaiman,Norse Mythology,4.12
5885,Stephen E. Ambrose,Citizen Soldiers: The U. S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany,4.19
5886,Julie Garwood,Honor's Splendour,4.22
5887,Kody Keplinger,Shut Out,3.76
5888,A. Meredith Walters,"Bad Rep (Bad Rep, #1)",3.91
5889,Nora Roberts,"Valley of Silence (Circle Trilogy, #3)",4.2
5890,Jeanne DuPrau,"The Prophet of Yonwood (Book of Ember, #3)",3.25
5891,James Patterson,"Hope to Die (Alex Cross, #22)",4.14
5892,"Kresley Cole, Gena Showalter","Deep Kiss of Winter (Includes: Immortals After Dark, #8; Alien Huntress, #3.5)",4.23
5893,"Holly Black, Eliza Wheeler",Doll Bones,3.7
5894,Patricia Cornwell,"Red Mist (Kay Scarpetta, #19)",3.75
5895,Alan Bradley,"I Am Half-Sick of Shadows (Flavia de Luce, #4)",4.09
5896,Kristen Ashley,"Wild Man (Dream Man, #2)",4.21
5897,"Joseph Fink, Jeffrey Cranor",Welcome to Night Vale,3.87
5898,"Michael Teitelbaum, Walt Disney Company",Sleeping Beauty: a Little Golden Book (Disney Princess),4.32
5899,Julia Quinn,"An Offer From a Gentleman (Bridgertons, #3)",4.08
5900,Julie   Murphy,"Dumplin' (Dumplin', #1)",3.87
5901,Ann Leckie,Ancillary Mercy (Imperial Radch #3),4.2
5902,Gena Showalter,The Darkest Surrender  (Lords of the Underworld #8),4.42
5903,Stephen King,Danse Macabre,3.62
5904,Gina L. Maxwell,"Seducing Cinderella (Fighting for Love, #1)",3.94
5905,Alexander McCall Smith,"Blue Shoes and Happiness (No. 1 Ladies' Detective Agency, #7)",4.06
5906,"Eve Ensler, Gloria Steinem",The Vagina Monologues,3.86
5907,Charles Dickens,Our Mutual Friend,4.07
5908,Evelyn Waugh,A Handful of Dust,3.92
5909,Francine Rivers,Leota's Garden,4.07
5910,Barbara Delinsky,Not My Daughter,3.77
5911,Paul Auster,The Book of Illusions,3.89
5912,Karen Marie Moning,"To Tame a Highland Warrior (Highlander, #2)",4.14
5913,Wendy Mass,A Mango-Shaped Space,4.22
5914,Maeve Binchy,Quentins,3.88
5915,"George Eliot, Edmund White",Daniel Deronda,3.82
5916,Elin Hilderbrand,Here's to Us,3.73
5917,Susan Mallery,"Chasing Perfect (Fool's Gold, #1)",3.89
5918,Plum Sykes,The Debutante Divorcee,3.46
5919,"Anonymous, Ronald A. Beers, Ronald A. Beers",Life Application Study Bible: NIV,4.67
5920,"Douglas Preston, Lincoln Child","The Wheel of Darkness (Pendergast, #8)",3.92
5921,Sylvain Neuvel,"Sleeping Giants (Themis Files, #1)",3.84
5922,Julianne Donaldson,Blackmoore,4.17
5923,"Neil Gaiman, Barron Storey, Bill Sienkiewicz, Glenn Fabry, Dave McKean, P. Craig Russell, Milo Manara, Miguelanxo Prado, Frank Quitely, Todd Klein",The Sandman: Endless Nights,4.34
5924,Olivia Goldsmith,The First Wives Club,3.87
5925,Maggie O'Farrell,The Vanishing Act of Esme Lennox,3.82
5926,Sarah Waters,The Night Watch,3.67
5927,Jeffrey Archer,"Mightier Than the Sword (The Clifton Chronicles, #5)",4.09
5928,Anne Rice,"Blood Canticle (The Vampire Chronicles, #10)",3.71
5929,Carl Hiaasen,Nature Girl,3.61
5930,Robert McCammon,Boy's Life,4.32
5931,"George Eliot, Joanna Trollope, Hugh Osborne",Adam Bede,3.77
5932,Chitra Banerjee Divakaruni,Sister of My Heart,3.97
5933,"Yōko Ogawa, Stephen Snyder",The Housekeeper and the Professor,3.94
5934,Sue Grafton,"H is for Homicide (Kinsey Millhone, #8)",3.89
5935,Douglas Coupland,JPod,3.7
5936,Dean Koontz,The Face,3.69
5937,Niall Ferguson,The Ascent of Money: A Financial History of the World,3.88
5938,Jim Gaffigan,Food: A Love Story,3.69
5939,Laurie Halse Anderson,The Impossible Knife of Memory,3.93
5940,"Dante Alighieri, Robert M. Durling","Purgatorio (The Divine Comedy, #2)",4.01
5941,David Baldacci,"Deliver Us from Evil (A. Shaw, #2)",3.98
5942,Jonathan Tropper,One Last Thing Before I Go,3.75
5943,"Julie Anne Peters, C.J. Bott","By the Time You Read This, I'll Be Dead",3.89
5944,Denise Kiernan,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,3.66
5945,"Dean Koontz, Ed Gorman, John Bedford Lloyd","City of Night (Dean Koontz's Frankenstein, #2)",3.97
5946,D.J. MacHale,"The Quillan Games (Pendragon, #7)",4.19
5947,David Mitchell,number9dream,3.92
5948,Douglas Coupland,Girlfriend in a Coma,3.61
5949,Stephen King,"The Green Mile, Part 1: The Two Dead Girls",4.49
5950,Mark Dunn,Ella Minnow Pea: A Novel in Letters,3.84
5951,Steven Erikson,"Toll the Hounds (The Malazan Book of the Fallen, #8)",4.33
5952,Tess Gerritsen,The Bone Garden ,4.02
5953,Dee Lestari,"Supernova: Ksatria, Puteri, dan Bintang Jatuh",3.83
5954,Paul Tremblay,A Head Full of Ghosts,3.82
5955,Gretchen Rubin,Better Than Before: Mastering the Habits of Our Everyday Lives,3.81
5956,Ben Aaronovitch,"Broken Homes (Peter Grant, #4)",4.16
5957,Raymond E. Feist,"The King's Buccaneer (Krondor's Sons, #2)",3.99
5958,"Isabel Allende, Anne McLean",Maya's Notebook,3.8
5959,Rita Williams-Garcia,"One Crazy Summer (Gaither Sisters, #1)",3.95
5960,Robin Hobb,"Dragon Haven (Rain Wild Chronicles, #2)",4.06
5961,P.G. Wodehouse,"Right Ho, Jeeves (Jeeves, #6)",4.31
5962,"Pseudonymous Bosch, Gilbert Ford","If You're Reading This, It's Too Late (Secret, #2)",4.23
5963,Erin Hunter,"Moonrise (Warriors: The New Prophecy, #2)",4.31
5964,Jason F. Wright,The Wednesday Letters,3.61
5965,"Lili St. Crow, Lilith Saintcrow","Betrayals (Strange Angels, #2)",4.08
5966,"James Patterson, Howard Roughan",You've Been Warned,3.52
5967,"Blue Balliett, Brett Helquist","Chasing Vermeer (Chasing Vermeer, #1)",3.71
5968,Philip Yancey,The Jesus I Never Knew,4.18
5969,Greg Iles,Turning Angel,4.11
5970,Alice Clayton,"The Unidentified Redhead (Redhead, #1)",4.04
5971,"Dav Pilkey, George Beard, Harold Hutchins","The Adventures of Ook and Gluk, Kung-Fu Cavemen from the Future",4.13
5972,"Robert Louis Stevenson, Tasha Tudor",A Child's Garden of Verses,4.3
5973,Bret Easton Ellis,The Informers,3.39
5974,Kiera Cass,"The Queen (The Selection, #0.4)",3.93
5975,James Rollins,"The Devil Colony (Sigma Force, #7)",4.17
5976,"Robert Kirkman, Charlie Adlard","The Walking Dead, Vol. 12: Life Among Them",4.34
5977,Jane Smiley,"Some Luck (Last Hundred Years: A Family Saga, #1)",3.61
5978,"Paulo Freire, Myra Bergman Ramos, Donaldo Macedo, Richard Shaull",Pedagogy of the Oppressed,4.25
5979,Ian Doescher,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars, #4)",3.94
5980,"Brad Meltzer, Rags Morales, Michael Bair, Joss Whedon",Identity Crisis,4.03
5981,Sarah Rees Brennan,"Unspoken (The Lynburn Legacy, #1)",3.85
5982,"Arthur C. Clarke, Gentry Lee","Rama II (Rama, #2)",3.66
5983,José Saramago,The Gospel According to Jesus Christ,4.26
5984,"Lemony Snicket, Seth","Who Could That Be at This Hour? (All the Wrong Questions, #1)",3.83
5985,Kelley Armstrong,"The Calling (Darkness Rising, #2)",4.1
5986,"Bryan Konietzko, Michael Dante DiMartino, Aaron Ehasz, Alison Wilgus, Amy Kim Ganter, Brian Ralph, Corey Lewis, Dave Roman, Elsa Garagarza, Ethan Spaulding, Frank Pittarese, Gurihiru, J. Torres, Joaquim Dos Santos, Johane Matte, John O'Bryan, Joshua Hamilton, Justin Ridge, Kaite Mattila, May Chan, Rawles Marie Lumumba, Reagan Lodge, Tim Hedrick, Tom McWeeney",Avatar: The Last Airbender: The Lost Adventures,4.41
5987,Catherine McKenzie,Hidden,3.44
5988,Margaret Sidney,Five Little Peppers and How They Grew,4.03
5989,Jessica Day George,"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",3.92
5990,"Radwa Ashour, رضوى عاشور",الطنطورية,4.32
5991,Barbara Cooney,Miss Rumphius,4.45
5992,Jim Bouton,Ball Four,3.99
5993,"Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean","Fables, Vol. 3: Storybook Love",4.15
5994,Carlos Fuentes,Aura,3.8
5995,Harriet Lerner,The Dance Of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,4.02
5996,Burton G. Malkiel,A Random Walk Down Wall Street,4.05
5997,Jennifer Echols,Forget You,3.79
5998,Kelly Elliott,"Wanted (Wanted, #1)",3.98
5999,William Goldman,Marathon Man,4.11
6000,Julie Klassen,The Apothecary's Daughter,3.79
6001,Michelle A. Valentine,"Rock the Heart (Black Falcon, #1)",4.01
6002,Piers Anthony,"Bearing an Hourglass (Incarnations of Immortality, #2)",3.94
6003,"Claire Huchet Bishop, Kurt Wiese",The Five Chinese Brothers,4.18
6004,Jamie McGuire,"Providence (Providence, #1)",4
6005,Piers Anthony,"The Source of Magic (Xanth, #2)",3.86
6006,Arnold Lobel,"Days with Frog and Toad (Frog and Toad, #4)",4.24
6007,Cormac McCarthy,"Cities of the Plain (The Border Trilogy, #3)",4.07
6008,C.S. Pacat,"Captive Prince (Captive Prince, #1)",3.98
6009,Megan Whalen Turner,"The King of Attolia (The Queen's Thief, #3)",4.37
6010,"Ridley Pearson, David Frankland","Disney after Dark (Kingdom Keepers, #1)",3.91
6011,Richard Feynman,What Do You Care What Other People Think?,4.28
6012,Paul Murray,Skippy Dies,3.72
6013,David Weber,"The Honor of the Queen (Honor Harrington, #2)",4.21
6014,V.C. Andrews,"My Sweet Audrina (Audrina, #1)",3.92
6015,A.G. Riddle,"The Atlantis World (The Origin Mystery, #3)",3.93
6016,Jessica Shirvington,"Embrace (The Violet Eden Chapters, #1)",4.01
6017,Dorothy L. Sayers,"Unnatural Death (Lord Peter Wimsey, #3)",4.11
6018,Tony Kushner,"Angels in America, Part One: Millennium Approaches",4.27
6019,Dorothy Koomson,My Best Friend's Girl,4.02
6020,Lisa Kleypas,"Dreaming of You (The Gamblers, #2)",4.22
6021,Ruth Reichl,Comfort Me with Apples: More Adventures at the Table,4.02
6022,John Keats,The Complete Poems,4.24
6023,Judith McNaught,"Almost Heaven (Sequels, #3)",4.33
6024,Joseph Boyden,Three Day Road,4.31
6025,Dashiell Hammett,Red Harvest,4
6026,"J. Lynn, Jennifer L. Armentrout","Trust in Me (Wait for You, #1.5)",4.27
6027,"Masashi Kishimoto, Frances Wall","Naruto, Vol. 11: Impassioned Efforts (Naruto, #11)",4.5
6028,David Baldacci,One Summer,3.72
6029,Judith McNaught,"Whitney, My Love (Westmoreland, #2)",4.19
6030,Khushwant Singh,Train to Pakistan,3.85
6031,Craig Silvey,Jasper Jones,4.06
6032,Michael A. Singer,The Untethered Soul: The Journey Beyond Yourself,4.27
6033,Marlon James,A Brief History of Seven Killings,3.86
6034,Nina LaCour,Hold Still,3.99
6035,Julie Garwood,The Prize,4.22
6036,Jami Attenberg,The Middlesteins,3.42
6037,"Thomas Piketty, Arthur Goldhammer",Capital in the Twenty-First Century,4.01
6038,James D. Bradley,Flyboys: A True Story of Courage,4.15
6039,"Kay Thompson, Hilary Knight",Eloise ,4.2
6040,Jonathan Stroud,"The Screaming Staircase (Lockwood & Co., #1)",4.19
6041,Herman Koch,Summer House with Swimming Pool,3.39
6042,Peter Carey,True History of the Kelly Gang,3.8
6043,Elmore Leonard,"Get Shorty (Chili Palmer, #1)",3.95
6044,K.A. Tucker,"One Tiny Lie (Ten Tiny Breaths, #2)",4.3
6045,"Nathanael West, Alfred Kazin",The Day of the Locust,3.78
6046,James Gleick,Genius: The Life and Science of Richard Feynman,4.16
6047,Alan Brennert,Honolulu,4.02
6048,Keri Arthur,Full Moon Rising (Riley Jenson Guardian #1),3.89
6049,Richard Russo,Bridge of Sighs,3.79
6050,Rosamunde Pilcher,Winter Solstice,4.15
6051,Ally Carter,"United We Spy (Gallagher Girls, #6)",4.44
6052,Rachel Caine,"The Morganville Vampires, Volume 1 (The Morganville Vampires, #1-2)",4.36
6053,Anthony Horowitz,"Raven's Gate (The Gatekeepers, #1)",3.9
6054,John Darnielle,Wolf in White Van,3.72
6055,Erich Maria Remarque,Three Comrades,4.48
6056,Melissa de la Cruz,"Bloody Valentine (Blue Bloods, #5.5)",3.98
6057,Maya Angelou,The Heart of a Woman,4.19
6058,Andrzej Sapkowski,"Chrzest ognia (Saga o Wiedźminie, #5)",4.36
6059,"James Patterson, Richard DiLallo","Alex Cross's Trial (Alex Cross, #15)",3.92
6060,"Ori Brafman, Rom Brafman",Sway: The Irresistible Pull of Irrational Behavior,3.75
6061,"Marguerite Henry, Wesley Dennis",King of the Wind: The Story of the Godolphin Arabian,4.19
6062,Sam Harris,Waking Up: A Guide to Spirituality Without Religion,3.87
6063,Jack London,"The Call of the Wild, White Fang and Other Stories",3.97
6064,Iris Chang,The Rape of Nanking,4.08
6065,Jerry A. Coyne,Why Evolution Is True,4.15
6066,Annie Proulx,Brokeback Mountain,3.93
6067,Susan Elizabeth Phillips,"Nobody's Baby But Mine (Chicago Stars, #3)",4.06
6068,Lisa Scottoline,Keep Quiet,3.76
6069,Jeffrey Archer,Sons of Fortune,3.83
6070,"Jostein Gaarder, Sarah Jane Hails",The Solitaire Mystery: A Novel About Family and Destiny,4.16
6071,Jen Sincero,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.04
6072,Jill Mansell,Rumour Has It,3.83
6073,Dean Koontz,Dragon Tears,3.72
6074,Iain M. Banks,Surface Detail (Culture #9),4.22
6075,Nicky Charles,"The Mating  (Law of the Lycans, #2)",4.02
6076,Conn Iggulden,"The Gates of Rome (Emperor, #1)",4.16
6077,"Kurtis J. Wiebe, Roc Upchurch","Rat Queens, Vol. 1: Sass & Sorcery",4.2
6078,Agatha Christie,"Curtain (Hercule Poirot, #39)",4.05
6079,Lian Hearn,"Grass for His Pillow (Tales of the Otori, #2)",4.01
6080,Laurell K. Hamilton,"Swallowing Darkness (Merry Gentry, #7)",4.13
6081,Laurelin Paige,"The Fixed Trilogy (Fixed, #1-3)",4.35
6082,Edan Lepucki,California,3.22
6083,"Stephen Briggs, Terry Pratchett",Guards! Guards!: The Play,4.35
6084,Mo Willems,The Pigeon Finds a Hot Dog!,4.35
6085,Chuck Wendig,"Aftermath (Star Wars: Aftermath, #1)",3.15
6086,Ellen Schreiber,"Vampireville (Vampire Kisses, #3)",3.92
6087,Agatha Christie,"Hercule Poirot's Christmas (Hercule Poirot, #20)",3.9
6088,Jennifer Chiaverini,Mrs. Lincoln's Dressmaker,3.41
6089,Safiy al-Rahman al-Mubarakfuri,الرحيق المختوم,4.57
6090,Sarah McCoy,The Baker's Daughter,3.94
6091,J.R. Ward,"The Shadows (Black Dagger Brotherhood, #13)",4.29
6092,"Trina Schart Hyman, Johann Grimm, Wilhelm Grimm",Little Red Riding Hood,4.11
6093,Dav Pilkey,"Captain Underpants and the Attack of the Talking Toilets (Captain Underpants, #2)",3.99
6094,"Martin Pistorius, Megan Lloyd Davies",Ghost Boy,3.96
6095,Greg McKeown,Essentialism: The Disciplined Pursuit of Less,3.99
6096,Philippa Gregory,"Wideacre  (The Wideacre Trilogy, #1)",3.28
6097,"Roald Dahl, Quentin Blake",The Magic Finger (Young Puffin Developing Reader),3.66
6098,Lisa Renee Jones,"If I Were You (Inside Out, #1)",4.14
6099,L.A. Fiore,"Beautifully Damaged (Beautifully Damaged, #1)",3.99
6100,Samantha Towle,"Wethering the Storm (The Storm, #2)",4.33
6101,"René Descartes, Donald A. Cress",Meditations on First Philosophy,3.69
6102,Enid Blyton,"The Enchanted Wood (The Faraway Tree, #1)",4.24
6103,Sandi Lynn,"Forever Black (Forever, #1)",3.99
6104,Henry James,Daisy Miller,3.36
6105,Lauren Groff,Arcadia,3.65
6106,Dorothy Kunhardt,Pat the Bunny,4.06
6107,Melanie Benjamin,The Swans of Fifth Avenue,3.58
6108,"CLAMP, Maria Simpson","Cardcaptor Sakura, Vol. 1 (Cardcaptor Sakura, #1)",4.3
6109,Meg Cabot,"Size 14 Is Not Fat Either (Heather Wells, #2)",3.83
6110,Ree Drummond,The Pioneer Woman Cooks: Food from My Frontier ,4.31
6111,Shelly Crane,"Defiance (Significance, #3)",4.31
6112,Dian Fossey,Gorillas in the Mist,4.16
6113,"Jeffery Hudson, Michael Crichton",A Case of Need,3.6
6114,Adelle Waldman,The Love Affairs of Nathaniel P.,3.3
6115,"P.C. Cast, Kristin Cast","Revealed (House of Night, #11)",3.81
6116,Matthew Norman,We're All Damaged,3.85
6117,Linda Castillo,"Sworn to Silence (Kate Burkholder, #1)",4
6118,Ilona Andrews,"Magic Breaks (Kate Daniels, #7)",4.52
6119,"Anton Chekhov, Michael Frayn",The Seagull,3.92
6120,"Haruki Murakami, 村上 春樹","1Q84 BOOK 3 (1Q84, #3)",3.86
6121,Meg Cabot,"Boy Meets Girl (Boy, #2)",3.82
6122,Louise Rennison,"Dancing in My Nuddy-Pants (Confessions of Georgia Nicolson, #4)",4.01
6123,Robert A. Heinlein,The Door Into Summer,4
6124,Julie Anne Peters,Luna,3.86
6125,Alice Munro,Runaway,3.98
6126,Iain M. Banks,"Matter (Culture, #8)",4.03
6127,Mia Sheridan,Leo,4.06
6128,E.M. Forster,Maurice,4.02
6129,"J.D. Robb, Susan Ericksen","New York to Dallas (In Death, #33)",4.42
6130,Ira Levin,The Stepford Wives,3.71
6131,Cornelius Ryan,The Longest Day,4.31
6132,Janet Evanovich,Motor Mouth (Alex Barnaby #2),3.66
6133,D.J. MacHale,"The Reality Bug (Pendragon, #4)",4.15
6134,David Baldacci,True Blue,3.84
6135,"Raymond E. Feist, Janny Wurts","Mistress of the Empire (The Empire Trilogy, #3)",4.29
6136,C.J. Redwine,Defiance (Defiance #1),3.69
6137,Elin Hilderbrand,"Winter Street (Winter, #1)",3.67
6138,"Carolyn Keene, Mildred Benson",The Hidden Staircase (Nancy Drew #2),3.94
6139,Taylor Caldwell,Captains and the Kings,4.11
6140,Daniel Silva,"The Fallen Angel (Gabriel Allon, #12)",4.17
6141,J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",4.56
6142,Karen Kingsbury,"One Tuesday Morning (9/11, #1)",4.41
6143,Laurell K. Hamilton,"Hit List (Anita Blake, Vampire Hunter #20)",3.92
6144,"Stephen Briggs, Terry Pratchett",Interesting Times: The Play,4.1
6145,Mariana Zapata,The Wall of Winnipeg and Me,4.34
6146,Mary Higgins Clark,Let Me Call You Sweetheart,3.84
6147,Joseph Wambaugh,The Onion Field,4.13
6148,Kathy Reichs,"Break No Bones (Temperance Brennan, #9)",3.95
6149,Kelly McGonigal,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",4.11
6150,Richard K. Morgan,"Broken Angels (Takeshi Kovacs, #2)",4
6151,Karin Slaughter,"Beyond Reach (Grant County, #6)",4.19
6152,John Scalzi,Fuzzy Nation,4.1
6153,Sue Grafton,"I is for Innocent (Kinsey Millhone, #9)",3.9
6154,Thomas Pynchon,V.,3.97
6155,"Joseph Conrad, A. Michael Matin",Heart of Darkness and Selected Short Fiction,3.75
6156,"Bertrand Russell, Paul  Edwards",Why I Am Not a Christian and Other Essays on Religion and Related Subjects,4.03
6157,Alain de Botton,The Art of Travel,3.81
6158,Paullina Simons,"The Summer Garden (The Bronze Horseman, #3)",4.13
6159,James Patterson,"Cross Justice (Alex Cross, #23)",4.22
6160,"Heinrich Böll, محمد اسماعیل‌زاده",عقاید یک دلقک,4.05
6161,Laura McHugh,The Weight of Blood,3.73
6162,Julia Quinn,"When He was Wicked (Bridgertons, #6)",4.03
6163,Sue Grafton,"V is for Vengeance (Kinsey Millhone, #22)",3.93
6164,Margaret Peterson Haddix,"Among the Betrayed (Shadow Children, #3)",4.06
6165,William Gibson,"Spook Country (Blue Ant, #2)",3.66
6166,"Anonymous, Richard Wilhelm, Cary F. Baynes, C.G. Jung",The I Ching or Book of Changes,4.18
6167,John Buchan,"The 39 Steps (Richard Hannay, #1)",3.6
6168,Joan Didion,Blue Nights,3.75
6169,Peter Watts,"Blindsight (Firefall, #1)",3.99
6170,Nick Offerman,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,3.64
6171,"Scott Snyder, Stephen King, Rafael Albuquerque","American Vampire, Vol. 1",3.98
6172,John Sandford,"Heat Lightning (Virgil Flowers, #2)",4.16
6173,"Alexis de Tocqueville, Isaac Kramnick, Gerald Bevan",Democracy in America ,3.99
6174,Harlan Coben,Drop Shot (Myron Bolitar #2),3.92
6175,Darren Shan,"The Lake of Souls (Cirque Du Freak, #10)",4.19
6176,A. Meredith Walters,"Find You in the Dark (Find You in the Dark, #1)",3.98
6177,Erica Bauermeister,The School of Essential Ingredients,3.78
6178,Amy A. Bartol,"Intuition (The Premonition, #2)",4.29
6179,Bernard Cornwell,Azincourt,4.11
6180,Roddy Doyle,Paddy Clarke Ha Ha Ha,3.75
6181,Anne Tyler,Dinner at the Homesick Restaurant,3.82
6182,V.C. Andrews,"Heaven (Casteel, #1)",4.01
6183,Jenny Nimmo,"Charlie Bone and the Hidden King (The Children of the Red King, #5)",3.98
6184,Martin Amis,Money,3.71
6185,John Sandford,"Secret Prey (Lucas Davenport, #9)",4.25
6186,"Chris Ryall, Gabriel Rodríguez, Clive Barker",The Complete Clive Barker's The Great And Secret Show,4.21
6187,Arthur Conan Doyle,His Last Bow: 8 Stories,4.27
6188,"Brian Herbert, Kevin J. Anderson",House Atreides (Prelude to Dune #1),3.69
6189,Diana Wynne Jones,"Charmed Life (Chrestomanci, #1)",3.95
6190,Charles Dickens,The Pickwick Papers,3.82
6191,Joseph O'Neill,Netherland,3.4
6192,Steve Berry,The Romanov Prophecy,3.9
6193,Larissa Ione,Ecstasy Unveiled (Demonica #4),4.36
6194,Alan Bennett,The Uncommon Reader,3.82
6195,"Franz Kafka, بهرام مقدادی",Amerika,3.73
6196,"Steve Niles, Ben Templesmith","30 Days of Night, Vol. 1",3.81
6197,Erin Hunter,"Sunset (Warriors: The New Prophecy, #6)",4.35
6198,"يوسف زيدان, Youssef Ziedan",النبطي,3.43
6199,Hillary Jordan,When She Woke,3.67
6200,Sidney Sheldon,The Naked Face,3.51
6201,Meg Cabot,"Princess in Training (The Princess Diaries, #6)",3.7
6202,"Christopher Hitchens, Titus Lucretius Carus, Omar Khayyám, Thomas Hobbes, Baruch Spinoza, David Hume, James Boswell, Percy Bysshe Shelley, George Eliot, Charles Darwin, Leslie Stephen, Anatole France, Mark Twain, Joseph Conrad, Thomas Hardy, Emma Goldman, H.P. Lovecraft, Carl Van Doren, H.L. Mencken, Sigmund Freud, Albert Einstein, George Orwell, John Betjeman, Chapman Cohen, Bertrand Russell, Philip Larkin, Martin Gardner, Carl Sagan, John Updike, John Leslie Mackie, Michael Shermer, A.J. Ayer, Daniel C. Dennett, Charles Templeton, Richard Dawkins, Victor J. Stenger, Elizabeth S.  Anderson, Penn Jillette, Ian McEwan, Steven Weinberg, Salman Rushdie, Ibn Warraq, Sam Harris, A.C. Grayling, Ayaan Hirsi Ali, John Stuart Mill, Karl Marx",The Portable Atheist: Essential Readings for the Nonbeliever,4.02
6203,Larissa Ione,Sin Undone (Demonica #5),4.35
6204,Fritjof Capra,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,3.96
6205,Madeline Sheehan,"Unbeautifully (Undeniable, #2)",4.38
6206,Kathryn Croft,The Girl With No Past,3.59
6207,Jeff VanderMeer,"Acceptance (Southern Reach, #3)",3.58
6208,Kristen Ashley,"Lady Luck (Colorado Mountain, #3)",4.44
6209,Elizabeth Eulberg,"The Lonely Hearts Club (The Lonely Hearts Club, #1)",3.83
6210,Julie Garwood,"Ransom (Highlands' Lairds, #2)",4.33
6211,Agatha Christie,"The Big Four (Hercule Poirot, #5)",3.6
6212,Agatha Christie,"Peril at End House (Hercule Poirot, #8)",3.89
6213,Renée Knight,Disclaimer,3.58
6214,Veronica Roth,"The Divergent Series 2-Book Collection (Divergent, #1-2)",4.56
6215,"Umberto Eco, Richard Dixon",The Prague Cemetery,3.39
6216,Yann Martel,Beatrice and Virgil,3.13
6217,Hiroyuki Takei,"Shaman King, Vol. 1: A Shaman in Tokyo",4.14
6218,Robert Jordan,"From the Two Rivers: The Eye of the World, Part 1 (Wheel of time, #1-1)",4.26
6219,Michio Kaku,Hyperspace,4.11
6220,Steven Pinker,How the Mind Works,3.97
6221,Bella Forrest,"A Castle of Sand (A Shade of Vampire, #3)",4.1
6222,Karen Kingsbury,"Leaving (Bailey Flanigan, #1)",4.22
